threshold,sepsiguard_net_benefit,treat_all_net_benefit,treat_none_net_benefit
0.01,0.012492854481804759,0.012473045622216893,0.0
0.02,0.0026765969938819176,0.0023962399653007366,0.0
0.03,-0.006521358745542834,-0.007888334880417812,0.0
0.04,-0.015017918470957146,-0.018387171702088832,0.0
0.05,-0.022707208517036958,-0.02910703666737398,0.0
0.060000000000000005,-0.029531376915883804,-0.04005498386596307,0.0
0.06999999999999999,-0.03553669513391487,-0.051238370789252974,0.0
0.08,-0.04080520587847035,-0.06266487481957095,0.0
0.09,-0.04548119244251841,-0.0743425108065992,0.0
0.09999999999999999,-0.04983657690840011,-0.08627964981556141,0.0
0.11,-0.053866927949738796,-0.09848503913933178,0.0
0.12,-0.05773096049339144,-0.11096782367500599,0.0
0.13,-0.06128105625152682,-0.12373756877471873,0.0
0.14,-0.06465002841721332,-0.13680428469070383,0.0
0.15000000000000002,-0.06793267105259307,-0.15017845274588862,0.0
0.16,-0.07089646868652394,-0.16387105337381583,0.0
0.17,-0.07363879888675204,-0.17789359618554856,0.0
0.18000000000000002,-0.07657645517772187,-0.19225815223659184,0.0
0.19,-0.07926698951867767,-0.20697738868395713,0.0
0.2,-0.08181772933154148,-0.2220646060425066,0.0
0.21000000000000002,-0.08425990855531384,-0.23753377827089278,0.0
0.22,-0.08665877947645903,-0.2533995959410324,0.0
0.23,-0.088814077764354,-0.2696775127714354,0.0
0.24000000000000002,-0.09100592305012196,-0.2863837958342175,0.0
0.25,-0.09318600368324124,-0.3035355797786737,0.0
0.26,-0.09502627907883993,-0.32115092545135854,0.0
0.27,-0.09699661062712606,-0.33924888333425385,0.0
0.28,-0.09891438399725695,-0.35784956226945186,0.0
0.29000000000000004,-0.10073910187520024,-0.3769742039915568,0.0
0.3,-0.10251925169052241,-0.396645264048579,0.0
0.31,-0.1042690540648744,-0.416886499759428,0.0
0.32,-0.10601937654261348,-0.43772306593236077,0.0
0.33,-0.1077977292869682,-0.45918161915523187,0.0
0.34,-0.1097084025260821,-0.4812904315666748,0.0
0.35000000000000003,-0.11159838121164091,-0.504079515129239,0.0
0.36000000000000004,-0.11322731571350358,-0.5275807575531333,0.0
0.37,-0.11497622326351609,-0.5518280711650878,0.0
0.38,-0.11683645862936543,-0.5768575561838796,0.0
0.39,-0.11865422165213851,-0.6027076800557465,0.0
0.4,-0.12049839895143766,-0.6294194747233421,0.0
0.41000000000000003,-0.12252657189449025,-0.6570367539559412,0.0
0.42000000000000004,-0.12471599051900062,-0.6856063531620782,0.0
0.43,-0.12676899056660615,-0.7151783944456231,0.0
0.44,-0.12900943563926986,-0.7458065800607236,0.0
0.45,-0.13153153153153152,-0.7775485178800097,0.0
0.46,-0.13377908295035365,-0.8104660830259358,0.0
0.47000000000000003,-0.13622977715545215,-0.8446258204415196,0.0
0.48000000000000004,-0.1390105787895843,-0.8800993939115487,0.0
0.49,-0.14146691377760598,-0.9169640879098142,0.0
0.5,-0.1439251406102235,-0.9553033696680107,0.0
0.51,-0.14688250094722077,-0.9952075200693986,0.0
0.52,-0.1498996233802864,-1.0367743434041778,0.0
0.53,-0.15314637548092352,-1.0801099677319264,0.0
0.54,-0.15655376731523743,-1.1253297496391421,0.0
0.55,-0.15996217211686828,-1.1725592996311234,0.0
0.56,-0.16308794982828137,-1.2219356473500123,0.0
0.5700000000000001,-0.16707862944532614,-1.273608569381408,0.0
0.5800000000000001,-0.17064072754680495,-1.327742106747632,0.0
0.59,-0.17476190649617407,-1.3845163044731834,0.0
0.6,-0.1790901398636205,-1.444129212085013,0.0
0.61,-0.18296571114250673,-1.506799191882065,0.0
0.62,-0.18737743268130008,-1.572767591668435,0.0
0.63,-0.1920782063233907,-1.642301850902717,0.0
0.64,-0.1969273140543859,-1.7156991245389037,0.0
0.65,-0.20225971828181777,-1.7932905280971583,0.0
0.66,-0.20716036153150227,-1.8754461318647218,0.0
0.67,-0.21272301935285365,-1.96258086313335,0.0
0.68,-0.21805161515106272,-2.055161515106267,0.0
0.6900000000000001,-0.22416520958670316,-2.1537151123677596,0.0
0.7000000000000001,-0.23078990592802753,-2.258838949446685,0.0
0.7100000000000001,-0.23773691771405633,-2.3712127063241573,0.0
0.72,-0.24466676621372752,-2.4916131601214473,0.0
0.73,-0.2512619433429746,-2.620932166051871,0.0
0.74,-0.2565664687211648,-2.760198787823097,0.0
0.75,-0.2589915882733562,-2.9106067393360213,0.0
0.76,-0.2621090703963633,-3.0735486868083557,0.0
0.77,-0.25813202104338306,-3.2506594992782842,0.0
0.78,-0.24993190076063007,-3.4438712947000245,0.0
0.79,-0.24074176781359108,-3.655484213495264,0.0
0.8,-0.22690757055397945,-3.8882584241700275,0.0
0.81,-0.2132140864330455,-4.145535183336872,0.0
0.8200000000000001,-0.19227182984089067,-4.431398249077809,0.0
0.8300000000000001,-0.16604039853958613,-4.750892263729445,0.0
0.8400000000000001,-0.13491364292469274,-5.110323030212537,0.0
0.85,-0.09890995968344034,-5.517677898893369,0.0
0.86,-0.06704352339711456,-5.983226320242895,0.0
0.87,-0.040211652366348494,-6.520397575646194,0.0
0.88,-0.022852686941084735,-7.147097373616711,0.0
0.89,-0.010753797494128988,-7.887742589400049,0.0
0.9,-0.004748394803643424,-8.776516848340053,0.0
0.91,-0.0011071845325988977,-9.862796498155618,0.0
0.92,-0.00045791648001592783,-11.220646060425073,0.0
0.93,-0.0003967661426224965,-12.9664526404858,0.0
0.9400000000000001,-0.0004678711861032308,-15.294194747233437,0.0
0.9500000000000001,-0.0003782788313175059,-18.553033696680135,0.0
0.9600000000000001,-0.000477825892190534,-23.44129212085018,0.0
0.97,-0.0006437376603122454,-31.588389494466817,0.0
0.98,-0.0009755611965556708,-47.88258424170023,0.0
